model,input,within_subject_accuracy,within_subject_f1,cross_subject_cv_mean,cross_subject_cv_std
random_forest,band_power,0.575,0.5749704676533944,0.5372222222222222,0.02184400361259722
mlp,band_power,0.49444444444444446,0.33794948363817345,0.5611111111111111,0.013379549531991433
csp_lda,raw_epochs,0.6194444444444445,0.6192533301742069,0.5927777777777778,0.009558139185602927
riemann_mdm,raw_epochs,0.5111111111111111,0.5081909186438803,0.5061111111111111,0.02103788469862386
riemann_ts_lda,raw_epochs,0.6194444444444445,0.6184272394435792,0.6216666666666667,0.015947444549341477
